Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
KF1,PM2.5,10/06/2020 00:00,8.9,ug/m3,P
KF1,PM2.5,11/06/2020 00:00,10.2,ug/m3,P
KF1,PM2.5,12/06/2020 00:00,17.0,ug/m3,P
KF1,PM2.5,13/06/2020 00:00,5.7,ug/m3,P
KF1,PM2.5,14/06/2020 00:00,8.1,ug/m3,P
KF1,PM2.5,15/06/2020 00:00,4.8,ug/m3,P
KF1,PM2.5,16/06/2020 00:00,4.6,ug/m3,P
KF1,PM2.5,17/06/2020 00:00,6.8,ug/m3,P
KF1,PM2.5,18/06/2020 00:00,4.1,ug/m3,P
KF1,PM2.5,19/06/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,20/06/2020 00:00,4.2,ug/m3,P
KF1,PM2.5,21/06/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,22/06/2020 00:00,6.9,ug/m3,P
KF1,PM2.5,23/06/2020 00:00,7.3,ug/m3,P
KF1,PM2.5,24/06/2020 00:00,10.9,ug/m3,P
KF1,PM2.5,25/06/2020 00:00,9.5,ug/m3,P
KF1,PM2.5,26/06/2020 00:00,10.4,ug/m3,P
KF1,PM2.5,27/06/2020 00:00,4.5,ug/m3,P
KF1,PM2.5,28/06/2020 00:00,3.6,ug/m3,P
KF1,PM2.5,29/06/2020 00:00,5.1,ug/m3,P
KF1,PM2.5,30/06/2020 00:00,3.2,ug/m3,P
KF1,PM2.5,01/07/2020 00:00,2.6,ug/m3,P
KF1,PM2.5,02/07/2020 00:00,3.1,ug/m3,P
KF1,PM2.5,03/07/2020 00:00,4.7,ug/m3,P
KF1,PM2.5,04/07/2020 00:00,3.4,ug/m3,P
KF1,PM2.5,05/07/2020 00:00,4.4,ug/m3,P
KF1,PM2.5,06/07/2020 00:00,4.9,ug/m3,P
KF1,PM2.5,07/07/2020 00:00,4.9,ug/m3,P
KF1,PM2.5,08/07/2020 00:00,3.2,ug/m3,P
KF1,PM2.5,09/07/2020 00:00,3.5,ug/m3,P
KF1,PM2.5,10/07/2020 00:00,2.5,ug/m3,P
KF1,PM2.5,11/07/2020 00:00,3.7,ug/m3,P
KF1,PM2.5,12/07/2020 00:00,5.5,ug/m3,P
KF1,PM2.5,13/07/2020 00:00,3.2,ug/m3,P
KF1,PM2.5,14/07/2020 00:00,4.0,ug/m3,P
KF1,PM2.5,15/07/2020 00:00,3.4,ug/m3,P
