site_id,reading_date,PM_25,location,address
LW5,11/10/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,12/10/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,13/10/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,14/10/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,15/10/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,16/10/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,17/10/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,18/10/2020 00:00,16.0,Deptford,"Deptford,London, United Kingdom"
LW5,19/10/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,20/10/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,21/10/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,22/10/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,23/10/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,24/10/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,25/10/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,26/10/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,27/10/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,28/10/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,29/10/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,30/10/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,31/10/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,01/11/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,02/11/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,03/11/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,04/11/2020 00:00,19.0,Deptford,"Deptford,London, United Kingdom"
LW5,05/11/2020 00:00,55.0,Deptford,"Deptford,London, United Kingdom"
LW5,06/11/2020 00:00,54.0,Deptford,"Deptford,London, United Kingdom"
LW5,07/11/2020 00:00,33.0,Deptford,"Deptford,London, United Kingdom"
LW5,08/11/2020 00:00,33.0,Deptford,"Deptford,London, United Kingdom"
LW5,09/11/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,10/11/2020 00:00,12.0,Deptford,"Deptford,London, United Kingdom"
LW5,11/11/2020 00:00,11.0,Deptford,"Deptford,London, United Kingdom"
LW5,12/11/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,13/11/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,14/11/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,15/11/2020 00:00,3.0,Deptford,"Deptford,London, United Kingdom"
LW5,16/11/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,17/11/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,18/11/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,19/11/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,20/11/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,21/11/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,22/11/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,23/11/2020 00:00,14.0,Deptford,"Deptford,London, United Kingdom"
LW5,24/11/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,25/11/2020 00:00,10.0,Deptford,"Deptford,London, United Kingdom"
LW5,26/11/2020 00:00,18.0,Deptford,"Deptford,London, United Kingdom"
LW5,27/11/2020 00:00,23.0,Deptford,"Deptford,London, United Kingdom"
LW5,28/11/2020 00:00,39.0,Deptford,"Deptford,London, United Kingdom"
LW5,29/11/2020 00:00,28.0,Deptford,"Deptford,London, United Kingdom"
LW5,30/11/2020 00:00,16.0,Deptford,"Deptford,London, United Kingdom"
LW5,01/12/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,02/12/2020 00:00,15.0,Deptford,"Deptford,London, United Kingdom"
LW5,03/12/2020 00:00,6.0,Deptford,"Deptford,London, United Kingdom"
LW5,04/12/2020 00:00,7.0,Deptford,"Deptford,London, United Kingdom"
LW5,05/12/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,06/12/2020 00:00,13.0,Deptford,"Deptford,London, United Kingdom"
LW5,07/12/2020 00:00,15.0,Deptford,"Deptford,London, United Kingdom"
LW5,08/12/2020 00:00,19.0,Deptford,"Deptford,London, United Kingdom"
LW5,09/12/2020 00:00,9.0,Deptford,"Deptford,London, United Kingdom"
LW5,10/12/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,11/12/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,12/12/2020 00:00,8.0,Deptford,"Deptford,London, United Kingdom"
LW5,13/12/2020 00:00,4.0,Deptford,"Deptford,London, United Kingdom"
LW5,14/12/2020 00:00,5.0,Deptford,"Deptford,London, United Kingdom"
LW5,15/12/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,16/12/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
LW5,17/12/2020 00:00,10.794952681388013,Deptford,"Deptford,London, United Kingdom"
